2024-12-25 21:50:53,962 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-25 21:50:53,963 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-25 21:51:08,193 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:51:08,205 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-25 21:51:08,206 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-25 21:51:22,624 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:51:22,626 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-25 21:51:22,627 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-25 21:51:41,165 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:51:41,188 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-25 21:51:41,189 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-25 21:52:02,985 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:52:02,987 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-25 21:52:02,988 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-25 21:52:29,249 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:52:29,260 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-25 21:52:29,261 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-25 21:52:53,713 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:52:53,734 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-25 21:52:53,735 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5999999999999999, diff=17179869184
2024-12-25 21:53:23,980 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:53:24,002 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.45000000000000007, diff=17179869184
2024-12-25 21:53:24,003 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5499999999999999, diff=17179869184
2024-12-25 21:53:57,629 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:53:57,641 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5000000000000001, diff=17179869184
2024-12-25 21:53:57,642 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.4999999999999999, diff=17179869184
2024-12-25 22:03:13,108 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:03:13,109 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:03:13,110 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:06:15,173 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:06:15,174 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:06:15,175 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:15:33,778 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:15:33,780 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-25 22:15:33,781 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-25 22:15:47,037 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:15:47,049 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-25 22:15:47,050 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-25 22:16:02,581 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:16:02,582 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-25 22:16:02,583 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-25 22:16:16,629 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:16:16,631 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:16:16,632 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:17:14,650 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 22:17:14,651 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-25 22:17:14,652 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:44:53,218 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:44:53,219 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-26 00:44:53,221 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-26 00:44:53,220 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:44:53,220 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:44:53,221 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:44:53,220 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:44:53,225 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-26 00:44:53,226 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-26 00:44:53,226 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-26 00:44:53,229 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-26 00:44:53,227 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-26 00:44:53,228 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-26 00:44:53,229 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-26 00:44:53,233 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-26 00:45:04,226 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:45:04,228 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-26 00:45:04,228 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-26 00:45:08,738 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:45:08,739 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-26 00:45:08,740 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5999999999999999, diff=17179869184
2024-12-26 00:45:12,938 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:45:12,945 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.45000000000000007, diff=17179869184
2024-12-26 00:45:12,946 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5499999999999999, diff=17179869184
2024-12-26 00:45:16,741 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:45:16,752 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5000000000000001, diff=17179869184
2024-12-26 00:45:16,753 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.4999999999999999, diff=17179869184
2024-12-26 00:46:57,694 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:46:57,695 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:46:57,696 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
